                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.4064,                0.14666,                0.89371,                0.87609,                0.78501,                0.85513,                0.53732,                      0,                    inf,                      0,                0.00769,                0.00769,                0.00769
                     72,                 1.4091,                0.14691,                0.89206,                0.87735,                0.78439,                0.85528,                0.53748,                      0,                    inf,                      0,               0.007657,               0.007657,               0.007657
                     73,                 1.4066,                0.14672,                0.89142,                0.87867,                0.78393,                0.85576,                0.53819,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     74,                 1.4104,                0.14648,                 0.8917,                0.87599,                  0.787,                 0.8568,                0.53901,                      0,                    inf,                      0,               0.007591,               0.007591,               0.007591
                     75,                 1.4049,                0.14604,                0.88947,                0.87972,                0.78313,                0.85611,                 0.5387,                      0,                    inf,                      0,               0.007558,               0.007558,               0.007558
                     76,                 1.4014,                 0.1459,                 0.8894,                0.87907,                0.78596,                 0.8573,                0.53887,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     77,                 1.4054,                0.14648,                0.88992,                 0.8795,                0.78477,                0.85681,                0.53948,                      0,                    inf,                      0,               0.007492,               0.007492,               0.007492
                     78,                 1.3986,                0.14559,                0.89026,                0.87929,                0.78642,                0.85763,                 0.5397,                      0,                    inf,                      0,               0.007459,               0.007459,               0.007459
                     79,                 1.3983,                0.14595,                0.89054,                 0.8795,                 0.7865,                0.85834,                0.54058,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     80,                 1.4022,                0.14568,                0.89007,                0.87842,                0.78801,                0.85872,                0.54098,                      0,                    inf,                      0,               0.007393,               0.007393,               0.007393
                     81,                 1.3979,                0.14553,                0.88953,                0.87886,                0.78804,                0.85867,                0.54137,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
                     82,                 1.3917,                0.14506,                0.88936,                0.87902,                0.78891,                 0.8589,                0.54143,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     83,                 1.3973,                0.14531,                0.88983,                 0.8781,                  0.789,                0.85871,                0.54137,                      0,                    inf,                      0,               0.007294,               0.007294,               0.007294
                     84,                 1.3961,                0.14516,                0.88872,                0.87934,                 0.7892,                0.85925,                0.54165,                      0,                    inf,                      0,               0.007261,               0.007261,               0.007261
                     85,                  1.395,                0.14516,                0.88889,                0.87903,                0.78989,                0.85953,                0.54229,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     86,                 1.3854,                 0.1442,                0.88805,                0.88018,                0.78975,                0.85972,                0.54266,                      0,                    inf,                      0,               0.007195,               0.007195,               0.007195
                     87,                  1.396,                0.14484,                0.88852,                0.87952,                0.79045,                0.85988,                0.54276,                      0,                    inf,                      0,               0.007162,               0.007162,               0.007162
                     88,                 1.3908,                 0.1446,                0.88896,                0.87972,                 0.7909,                0.86007,                0.54293,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     89,                 1.3895,                0.14483,                0.88932,                0.88053,                 0.7902,                   0.86,                0.54293,                      0,                    inf,                      0,               0.007096,               0.007096,               0.007096
                     90,                 1.3936,                0.14481,                0.88877,                0.88147,                0.79011,                0.86036,                 0.5431,                      0,                    inf,                      0,               0.007063,               0.007063,               0.007063
                     91,                 1.3882,                0.14417,                 0.8867,                0.88048,                0.79079,                0.86063,                0.54335,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     92,                 1.3911,                0.14476,                0.88824,                0.88089,                0.79087,                0.86112,                0.54394,                      0,                    inf,                      0,               0.006997,               0.006997,               0.006997
                     93,                 1.3845,                0.14411,                0.88636,                0.88104,                0.79079,                0.86153,                0.54457,                      0,                    inf,                      0,               0.006964,               0.006964,               0.006964
                     94,                 1.3974,                0.14489,                0.88556,                0.88092,                0.79142,                0.86135,                0.54445,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     95,                 1.4158,                0.14804,                0.88318,                0.88129,                0.79188,                0.86138,                0.54448,                      0,                    inf,                      0,               0.006898,               0.006898,               0.006898
                     96,                 1.4134,                0.15154,                0.88059,                0.88172,                0.79248,                0.86128,                0.54451,                      0,                    inf,                      0,               0.006865,               0.006865,               0.006865
                     97,                  1.403,                0.15146,                0.87798,                 0.8817,                0.79271,                0.86087,                0.54399,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     98,                 1.3978,                0.15068,                0.87615,                0.88107,                0.79338,                0.85906,                0.54212,                      0,                    inf,                      0,               0.006799,               0.006799,               0.006799
                     99,                 1.3956,                0.15061,                 0.8749,                0.88165,                0.79314,                0.85745,                 0.5403,                      0,                    inf,                      0,               0.006766,               0.006766,               0.006766
                    100,                  1.396,                0.15035,                0.87516,                0.88224,                0.79282,                0.85635,                 0.5391,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                    101,                 1.3922,                0.14978,                0.87416,                0.88337,                0.79285,                0.85547,                0.53891,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.3888,                0.14938,                0.87333,                 0.8842,                0.79216,                0.85462,                 0.5386,                      0,                    inf,                      0,               0.006667,               0.006667,               0.006667
                    103,                 1.3868,                0.14903,                0.87299,                0.88504,                0.79232,                0.85383,                0.53845,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                    104,                 1.3871,                0.14875,                0.87262,                0.88687,                0.79064,                0.85308,                0.53821,                      0,                    inf,                      0,               0.006601,               0.006601,               0.006601
                    105,                 1.3818,                0.14822,                0.87143,                0.89006,                0.78617,                0.85214,                0.53797,                      0,                    inf,                      0,               0.006568,               0.006568,               0.006568
                    106,                 1.3814,                0.14783,                0.87164,                0.89434,                0.78115,                0.85198,                0.53798,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                    107,                 1.3814,                0.14767,                0.87187,                0.89895,                0.77575,                0.85308,                0.53874,                      0,                    inf,                      0,               0.006502,               0.006502,               0.006502
                    108,                 1.3836,                0.14764,                0.87044,                0.90141,                0.77248,                0.85544,                0.53992,                      0,                    inf,                      0,               0.006469,               0.006469,               0.006469
                    109,                 1.3765,                0.14739,                0.87038,                0.89868,                0.77368,                0.85889,                0.54166,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                    110,                 1.3739,                0.14688,                 0.8714,                0.89313,                0.77996,                0.86212,                0.54353,                      0,                    inf,                      0,               0.006403,               0.006403,               0.006403
                    111,                 1.3754,                0.14706,                0.86948,                 0.8874,                 0.7905,                0.86485,                0.54475,                      0,                    inf,                      0,                0.00637,                0.00637,                0.00637
                    112,                 1.3752,                0.14696,                0.87182,                0.88569,                0.79724,                0.86679,                0.54601,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                    113,                  1.376,                0.14669,                0.87022,                0.88562,                 0.8018,                0.86816,                0.54698,                      0,                    inf,                      0,               0.006304,               0.006304,               0.006304
                    114,                 1.3721,                0.14627,                0.86964,                0.88519,                0.80477,                0.86902,                0.54769,                      0,                    inf,                      0,               0.006271,               0.006271,               0.006271
                    115,                 1.3684,                0.14584,                0.87073,                 0.8857,                0.80624,                0.86989,                0.54832,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                    116,                 1.3709,                0.14597,                0.86863,                0.88651,                0.80692,                0.87087,                0.54895,                      0,                    inf,                      0,               0.006205,               0.006205,               0.006205
                    117,                 1.3738,                0.14602,                0.86918,                0.88711,                0.80709,                0.87158,                0.54957,                      0,                    inf,                      0,               0.006172,               0.006172,               0.006172
                    118,                 1.3717,                0.14577,                0.86975,                0.88647,                0.80838,                0.87213,                0.55004,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                    119,                 1.3672,                0.14574,                0.86954,                0.88651,                0.80924,                0.87249,                0.55039,                      0,                    inf,                      0,               0.006106,               0.006106,               0.006106
                    120,                 1.3694,                0.14555,                0.86931,                0.88737,                0.80906,                0.87287,                0.55088,                      0,                    inf,                      0,               0.006073,               0.006073,               0.006073
                    121,                 1.3703,                0.14556,                0.86904,                 0.8875,                0.80973,                0.87343,                0.55121,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                    122,                  1.365,                0.14502,                0.86938,                0.88843,                0.80917,                0.87356,                0.55154,                      0,                    inf,                      0,               0.006007,               0.006007,               0.006007
                    123,                 1.3677,                0.14511,                0.86922,                0.88867,                0.80909,                0.87366,                0.55174,                      0,                    inf,                      0,               0.005974,               0.005974,               0.005974
                    124,                 1.3626,                0.14482,                0.86881,                0.88849,                 0.8093,                0.87377,                0.55211,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                    125,                 1.3664,                0.14496,                 0.8682,                0.88938,                0.80909,                0.87392,                 0.5523,                      0,                    inf,                      0,               0.005908,               0.005908,               0.005908
                    126,                 1.3636,                0.14499,                0.86901,                0.88923,                0.80945,                0.87402,                0.55248,                      0,                    inf,                      0,               0.005875,               0.005875,               0.005875
                    127,                 1.3579,                0.14406,                0.86698,                0.88974,                0.80941,                0.87416,                0.55274,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                    128,                 1.3608,                0.14448,                0.86934,                0.88935,                0.80979,                0.87429,                0.55286,                      0,                    inf,                      0,               0.005809,               0.005809,               0.005809
                    129,                 1.3606,                0.14436,                0.86758,                0.88955,                0.80979,                0.87444,                0.55301,                      0,                    inf,                      0,               0.005776,               0.005776,               0.005776
                    130,                  1.361,                0.14439,                0.86793,                0.88973,                0.81022,                0.87467,                0.55317,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                    131,                 1.3605,                0.14444,                0.86776,                0.88973,                 0.8104,                0.87493,                0.55343,                      0,                    inf,                      0,                0.00571,                0.00571,                0.00571
                    132,                 1.3555,                 0.1437,                0.86642,                0.88993,                0.81013,                0.87484,                0.55348,                      0,                    inf,                      0,               0.005677,               0.005677,               0.005677
                    133,                 1.3574,                0.14407,                0.86727,                0.89015,                0.81017,                0.87501,                0.55369,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                    134,                 1.3539,                0.14332,                0.86728,                0.89041,                0.80983,                0.87514,                0.55389,                      0,                    inf,                      0,               0.005611,               0.005611,               0.005611
                    135,                  1.354,                0.14354,                0.86684,                0.88998,                0.81052,                0.87519,                0.55399,                      0,                    inf,                      0,               0.005578,               0.005578,               0.005578
                    136,                 1.3551,                0.14341,                0.86597,                0.88993,                0.81064,                0.87524,                0.55406,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                    137,                 1.3595,                0.14371,                0.86641,                 0.8896,                0.81111,                 0.8753,                0.55402,                      0,                    inf,                      0,               0.005512,               0.005512,               0.005512
